Timestamp,1. What is your age group?,2. What is your highest level of education?,3. Which platform do you use most for online shopping?,4. How often do you shop online per month?,5. How often do you check online reviews before buying a product you have never tried before?,6. How much do you trust online reviews when buying a product?,7.  How strongly do negative reviews affect your purchase decision?,"8. How important is the number of reviews (e.g., 500 vs 5 reviews) when deciding whether to trust a product?","9.  How much do you trust reviews with a ""Verified Purchase"" badge?",10. Do you trust reviews more when they include photos or videos?,11. Do you compare reviews across multiple platforms before buying an expensive product?,"12. Would you pay more for a product with significantly better reviews (e.g., 4.8 vs 3.5 stars)?","13. In the last 6 months, have you returned a product because reviews were misleading?",14. How often do you ignore reviews when making a purchase decision?
18/05/2026 21:10:37,18-22,Intermediate,Daraz,1-2 times,Always,3,5,Very important,Trust them more than non-verified,Yes,Usually,4,I have not returned a product in the last 6 months,Never
18/05/2026 21:12:24,18-22,Matric,Daraz,Rarely,Always,4,5,Very important,Trust them completely,No,Never,2,I have not returned a product in the last 6 months,Never
18/05/2026 21:15:02,28-35,Postgraduate,Instagram / Facebook shops,Rarely,Always,3,5,Moderately important,I don't notice the badge,Yes,Usually,1,I have not returned a product in the last 6 months,Never
18/05/2026 21:15:31,18-22,Undergraduate,Instagram / Facebook shops,Rarely,Usually,1,5,Not important at all,Trust them completely,Doesn't matter,Always,3,No,Sometimes
18/05/2026 21:16:14,23-27,Undergraduate,Daraz,Rarely,Usually,3,3,Moderately important,I don't notice the badge,Yes,Sometimes,3,I have not returned a product in the last 6 months,Rarely
18/05/2026 21:21:06,28-35,Postgraduate,Daraz,Rarely,Always,3,5,Very important,I don't notice the badge,Yes,Always,2,I have not returned a product in the last 6 months,Rarely
18/05/2026 21:32:08,18-22,Undergraduate,Other,Rarely,Usually,1,3,Slightly important,Trust them more than non-verified,Yes,Never,3,I have not returned a product in the last 6 months,Rarely
18/05/2026 21:35:46,18-22,Undergraduate,Daraz,Rarely,Always,3,4,Moderately important,I don't notice the badge,Yes,Never,4,No,Never
18/05/2026 21:57:10,18-22,Undergraduate,Daraz,1-2 times,Always,4,3,Slightly important,Trust less,Doesn't matter,Usually,2,I have not returned a product in the last 6 months,Usually
18/05/2026 22:00:11,18-22,Intermediate,Other,1-2 times,Always,2,5,Moderately important,Trust less,No,Sometimes,5,No,Rarely
